Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
UNIVERSITY OF SOUTHERN MAINE/GLICKMAN FAMILY LIBRARY/PORTLAND CAMPUS,314 Forest Ave. P.O. Box 9301 Portland US-ME 04104-9301 US,43.6626578,-70.2725463,"314 Forest Ave, Portland, ME 04101, USA",Partial Match,Google
University of Saint Francis,"2701 Spring Street,Fort Wayne US-IN 46808 US",41.0878185,-85.177343,"2701 Spring St, Fort Wayne, IN 46808, USA",Match,Google
University of Puerto Rico/ Interlibrary Loan Office,",San Juan US-PR 00931-3302 US",18.40461,-66.050151,"Ponce de Leon Ave., San Juan, PR 00931",Partial Match,Google
University of Northern Colorado,"University of Northern Colorado,501 20th Street CB 48,Greeley US-CO 80639 US",40.4055121,-104.6960383,"501 20th St, Greeley, CO 80639, USA",Match,Google
UNIVERSITY OF NORTH CAROLINA - GREENSBORO / ILL / JACKSON LIBRARY,"P.O. Box 26170,320 College Ave.,Greensboro,NC,27402-6170",36.0681875,-79.8096074,"320 College Ave, Greensboro, NC 27412, USA",Partial Match,Google
University of NH / DIMOND LIBRARY-ILL,"18 Library Way,Durham US-NH 03824 US",43.1355148,-70.9332255,"18 Library Way, Durham, NH 03824, USA",Match,Google
UNIVERSITY OF NEBRASKA-LINCOLN / ILL,13TH & R STREETS P.O. BOX 884103 LINCOLN US-NE 68588-4103 US,40.816939,-96.702569,"R St & N 13th St, Lincoln, NE 68508, USA",Partial Match,Google
University of Nebraska at Omaha,6001 Dodge St Omaha NE 68182-0609,41.2581216,-96.0107121,"6001 Dodge St, Omaha, NE 68182, USA",Partial Match,Google
University of Montana,"Mansfield Library, ,32 Campus Dr.,Missoula, MT 59812-9936",46.8593661,-113.9829394,"32 Campus Dr, Missoula, MT 59812, USA",Match,Google
University of Mary Washington/ILL/Simpson Library /,"University of Mary Washington,1801 College Ave.,Fredericksburg, VA 22401-4664",38.3021703,-77.4742587,"1301 College Ave, Fredericksburg, VA 22401, USA",Match,Google
UNIVERSITY OF HARTFORD / MORTENSEN LIBRARY-ILS,"University of Hartford,200 Bloomfield Ave.,West Hartford US-CT 06117 US",41.7986012,-72.7138051,"200 Bloomfield Ave, West Hartford, CT 06117, USA",Match,Google
University Of Arkansas Libraries,University of Arkansas Libraries 365 North McIlroy Avenue Fayetteve US-AR 72701-4002 US,36.0686887,-94.1738021,"365 McIlroy Ave, Fayetteville, AR 72701, USA",Match,Google
University Library - ILL,"Santa Clara University,500 El Camino Real,Santa Clara US-CA 95053 US",37.3496418,-121.9389875,"500 El Camino Real, Santa Clara, CA 95053, USA",Match,Google
"University Libraries, ILL LI-110","University Library RM 110,1400 Washington Ave.,Albany US-NY 12222 US",42.6849434,-73.8252496,"1400 Washington Ave, Albany, NY 12222, USA",Match,Google
Univ. of Connecticut / Keremy Richard Library (UB1),"Jeremy Richard Library,,One University Place,Stamford, CT 06901",41.0560509,-73.5421624,"1 University Pl, Stamford, CT 06901, USA",Match,Google
Univ of Wisconsin Libraries,"728 State Street, Room B106F Memorial Library,Madison US-WI 53706-1494 US",43.075434,-89.397867,"University of Wisconsin-Madison, 728 State St, Madison, WI 53706, USA",Partial Match,Google
UMDNJ/GEORGE F. SMITH LIBRARY,30 TWELFTH AVENUE NEWARK NJ 07103,40.7404637,-74.1881449,"30 12th Ave, Newark, NJ 07103, USA",Match,Google
UMass Dartmouth / Carney Library / ILL Dept.,"UMass Dartmouth Carney Library,285 Old Westport Road,North Dartmouth US-MA 02747 US",41.6289466,-71.0069093,"285 Old Westport Rd, North Dartmouth, MA 02747, USA",Match,Google
UCSB Interlibrary Loan,"Davidson Library,525 UCEN Road,Santa Barbara, CA, 93106,U.S.A.,",34.4136876,-119.845559,"525 UCEN Rd, Santa Barbara, CA 93117, USA",Match,Google
U.S. EPA REGION 2 LIBRARY,"Dept. , 290 Broadway 16th Floor , NEW YORK, NY 10007",40.7147225,-74.0051426,"290 Broadway, New York, NY 10007, USA",Partial Match,Google
U of TX HSC-Houston,"UTSPH Library,1200 Pressler,Houston US-TX 77030 US",29.704977,-95.398074,"1200 Pressler St, Houston, TX 77030, USA",Match,Google
Twin Rivers Corrections Center Library,"P.O. Box 888,Monroe US-WA 98272-0888 US",47.8553772,-121.9709579,"Monroe, WA, USA",Partial Match,Google
Troy Public Library / ILL,",100 Second St,Troy, NY 12180",42.7279695,-73.6919542,"100 2nd St, Troy, NY 12180, USA",Match,Google
TOMPKINS CORTLAND COMMUNITY COLLEGE/LIBRARY/ILL,"P.O.BOX 139,170 NORTH STREET,DRYDEN US-NY 13053 US",42.5030098,-76.2981553,"170 North St, Dryden, NY 13053, USA",Partial Match,Google
Tisch Library Document Delivery / Tufts University,35 Professors Row Medford US-MA 02155 US,42.405986,-71.118725,"35 Professors Row, Medford, MA 02155, USA",Match,Google
TIMBERLAND REGIONAL LIBRARY/ILL,"415 Tumwater BLVD SW,Tumwater US-WA 98501 US",46.9832097,-122.9050599,"415 Tumwater Blvd SW, Tumwater, WA 98501, USA",Partial Match,Google
Three Lakes Public Library,6961 W School St WI 54562-0760,45.7962165,-89.1690881,"6961 W School St, Three Lakes, WI 54562, USA",Partial Match,Google
THE COLLEGE OF NEW JERSEY LIBRARY / ILL,"THE COLLEGE OF NEW JERSEY LIBRARY,2000 Pennington Road,P.O. Box 7718,Ewing US-NJ 08628-0718 US",40.2700876,-74.7770427,"2000 Pennington Rd, Ewing Township, NJ 08618, USA",Partial Match,Google
The Ames Library / Illinois Wesleyan Univ.,"PO Box 2899,Bloomington US-IL 61702-2899 US",40.5095467,-88.985868,"Bloomington, IL 61702, USA",Partial Match,Google
Teton County Library / ILL,"125 Virginian Ln,PO Box 1629,Jackson US-WY 83001-1629 US",43.4718,-110.78,"125 Virginian Ln, Jackson, WY 83001, USA",Partial Match,Google
Tennessee Tech University (TTU),5066 Cookeve US-TN 38505-0001 US,36.08951,-85.6067152,"5066 Cookeville Boat Dock Rd, Baxter, TN 38544, USA",Partial Match,Google
Temple University/Paley Library (017-00)/Interlibrary Loan,"Temple University,1210 West Berks St.,Philadelphia US-PA 19122 US",39.980825,-75.1495788,"Temple University Station, 927 W Berks St, Philadelphia, PA 19122, USA",Match,Google
TAE COURIER: 132 HOU,104 I-45 North Conroe US-TX 77301-2720 US,30.3101743,-95.4676183,"104 Interstate 45 N, Conroe, TX 77301, USA",Partial Match,Google
Syosset Public Library,"Syosset Public Library,225 South Oyster Bay Road,Syosset US-NY 11791 US",40.7987333,-73.5020748,"225 S Oyster Bay Rd, Syosset, NY 11791, USA",Match,Google
SUNY/STATE COLLEGE OF OPTOMETRY/Harold Kohn Vision Science Library,33 West 42nd Street New York US-NY 10036 US,40.7544368,-73.9821542,"33 W 42nd St, New York, NY 10036, USA",Match,Google
SUNY Upstate Medical University,",766 Irving Avenue,Syracuse US-NY 13210 US",43.0402889,-76.1390412,"766 Irving Ave, Syracuse, NY 13210, USA",Match,Google
SUNY Maritime College Library/ILL,6 Pennyfield Avenue Ft. Schuyler Bronx US-NY 10465-4198 US,40.805225,-73.791518,"SUNY Maritime College, 6 Pennyfield Avenue, Bronx, NY 10465, USA",Partial Match,Google
SUNY Farmingdale/ Interlibrary Loan,"Greenley Library,Farmingdale State College,Farmingdale US-NY 11735 US",40.7525499,-73.4287388,"2350 Broadhollow Rd, Farmingdale, NY 11735, USA",Match,Google
SUNY College of Technology at Alfred/ILL,"SUNY College of Technology at Alfred ,Hinkle Memorial Library,Interlibrary loan, 10 Upper College Dr.,Alfred, NY 14802",42.255143,-77.7953569,"10 Upper College Dr, Alfred, NY 14802, USA",Match,Google
SUNY College of Technology @ Delhi/Resnick Library/,"SUNY Delhi,454 Delhi Drive,Delhi US-NY 13753",42.2704551,-74.9241128,"454 Delhi Dr, Delhi, NY 13753, USA",Match,Google
SUNY College @ Old Westbury,223 Store H Road P. O. Box 229 Old Westbury US-NY 11568-0229 US,40.7804172,-73.5797906,"223 Store Hill Rd, Old Westbury, NY 11568, USA",Partial Match,Google
SUNY @ Buffalo/Arts & Sciences/ ILL,"Univ at Buffalo Libraries,234 Lockwood Library,Buffalo US-NY 14260-2200 US",43.000255,-78.786006,"Putnam Way, Buffalo, NY 14228, USA",Match,Google
Stony Brook University / ILL,100 Nicolls Road Stony Brook US-NY 11794-3339 US,40.9154724,-73.1227212,"100 Nicolls Rd, Stony Brook, NY 11790, USA",Partial Match,Google
Stewart Library - ILL,"Weber State University,3921 Central Campus Dr. Dept 2901,Ogden US-UT 84408-2901 US",41.194686,-111.9414138,"3885 Central Campus Dr, Ogden, UT 84403, USA",Partial Match,Google
Stevenson University Library / ILL,"Stevenson University Library,1525 Greenspring Valley Road,Stevenson US-MD 21153-0631 US",39.4216638,-76.7012976,"1525 Greenspring Valley Rd, Stevenson, MD 21153, USA",Match,Google
STATE LIBRARY OF OHIO / Interlibrary Loan,274 E. 1st Avenue - Suite 100 Columbus OH 43201,39.9811222,-82.9960706,"274 E 1st Ave #100, Columbus, OH 43201, USA",Match,Google
Stafford Creek Corrections Center Library,"191 Constantine Way,Aberdeen US-WA 98520 US",46.9255839,-123.9224381,"191 Constantine Way, Aberdeen, WA 98520, USA",Match,Google
St. Louis County Library / ILL,"1640 S. LINDBERGH BLVD,ST. LOUIS US-MO 63131 US",38.6301169,-90.4049885,"1640 S Lindbergh Blvd, St. Louis, MO 63131, USA",Match,Google
ST. LAWRENCE-LEWIS SCHOOL LIBRARY SYSTEM,St. Lawrence-Lewis School Library System,44.5949745,-75.181507,"40 W Main St, Canton, NY 13617, USA",Match,Google
St. Joseph's College/Callahan Library,"25 Audubon Avenue,Patchogue US-NY 11772 US",40.77595,-73.026142,"25 Audubon Ave, Patchogue, NY 11772, USA",Match,Google
St. Joseph's College,"278 Whites Bridge Rd. , Standish , ME 04084-5236",43.8270194,-70.4826594,"278 Whites Bridge Rd, Standish, ME 04084, USA",Partial Match,Google
St. John's University / LIBRARY ILL - ROOM 313,8000 Utopia Parkway Queens NY 11439 US,40.724247,-73.7945861,"8000 Utopia Pkwy, Jamaica, NY 11432, USA",Match,Google
ST. AMBROSE UNIVERSITY LIBRARY / ILL,518 W Locust Davenport IA US 52803,41.539169,-90.5799802,"518 Locust St, Davenport, IA 52803, USA",Partial Match,Google
ST TAMMANY PARISH LIBRARY-ILL,"19612 HWY 36,COVINGTON US-LA 70433 US",30.4814467,-90.0771727,"19612 LA-36, Covington, LA 70433, USA",Match,Google
Springfield City Library,"220 State Street,Springfield, MA 01103",42.103029,-72.5847746,"220 State St, Springfield, MA 01103, USA",Match,Google
Spartanburg County Public Library,",151 South Church St.,Spartanburg, SC 29306",34.9482922,-81.9304458,"151 S Church St, Spartanburg, SC 29306, USA",Match,Google
Southwestern University / ILS-Smith Library Center,"1001 E University Ave ,Georgetown US-TX 78626 US",30.6342496,-97.6657015,"1001 E University Ave, Georgetown, TX 78626, USA",Match,Google
SOUTHWEST RESEARCH INSTITUTE,"6220 CULEBRA ROAD,SAN ANTONIO TX 78238-5166",29.4523711,-98.6109818,"6220 Culebra Rd, San Antonio, TX 78238, USA",Partial Match,Google
Southold Free Library / ILL,"53705 MAINROAD, PO BOX 697,SOUTHOLD US-NY 11971-0697 US",41.0639494,-72.4288305,"53705 Main Rd, Southold, NY 11971, USA",Partial Match,Google
SOUTHERN WESTCHESTER BOCES SLS,"450 Mamaroneck Avenue,Harrison, NY 10528,450 Mamaroneck Avenue",40.9736395,-73.7417712,"Medical Office Building of White, 450 Mamaroneck Ave, Harrison, NY 10528, USA",Match,Google
SOUTHERN STATE COMMUN COLLEGE / LRC,"100 Hobart Dr.,Hsboro US-OH 45133 US",39.2364808,-83.6139477,"100 Hobart Dr, Hillsboro, OH 45133, USA",Partial Match,Google
Southeastern Louisiana University / ILL,"Southeastern LA Univ.,SLU 10896,Hammond,LA 70402",30.5173159,-90.4688572,"500 W University Ave, Hammond, LA 70402, USA",Match,Google
Somerset County Lib/ ILL,",1 Vogt Drive,PO Box 6700,Bridgewater US-NJ 08807 US",40.58792,-74.6076021,"1 Vogt Dr, Bridgewater, NJ 08807, USA",Match,Google
Smithtown - Nesconset Branch /Public Library,"148 Smithtown Blvd.,Nesconset, US-NY 11767-1799",40.8366284,-73.1590857,"148 Smithtown Blvd, Nesconset, NY 11767, USA",Partial Match,Google
Smathers Library / ATTN:Interlibrary Loan,"245 Library West, PO Box 117025,University of Florida, Gainesve, Fl 32611",29.6514302,-82.3429002,"University of Florida, 1545 W University Ave, Gainesville, FL 32611, USA",Partial Match,Google
SLS,"555 Warren Road,Ithaca US-NY 14850 US",42.4760763,-76.4648155,"555 Warren Rd, Ithaca, NY 14850, USA",Match,Google
Skokie Public Library / ILL,"5215 Oakton St.,Skokie US-IL 60077-3680 US",42.0257291,-87.7576986,"5215 Oakton St, Skokie, IL 60077, USA",Partial Match,Google
Skillman Library,"Lafayette College ,710 Sullivan Road,Easton, PA 18042",40.6985756,-75.2094516,"710 Sullivan Rd, Easton, PA 18042, USA",Match,Google
Siuslaw Public Library,"1460 9th St.,Florence US-OR 97439 US",43.9744147,-124.1053194,"1460 9th St, Florence, OR 97439, USA",Match,Google
SIMMONS COLLEGE LIBRARIES ILL,"Simmons College ,300 The Fenway,Boston US-MA 02115 US",42.3390666,-71.1006594,"300 Fenway, Boston, MA 02115, USA",Match,Google
SIENA COLLEGE LIBRARY/ILL,"Siena College,515 Loudon Rd.,Loudonve US-NY 12211-1462 US",42.7175627,-73.7525898,"515 Loudon Rd, Loudonville, NY 12211, USA",Partial Match,Google
Sidney Silverman Library - Interlibrary Loan / BERGEN COMMUNITY COLLEG,"Bergen Community College,400 Paramus Road,Paramus NJ,7652",40.9517197,-74.0886211,"400 Paramus Rd, Paramus, NJ 07652, USA",Match,Google
Shippensburg University - Lehman Library,"Shippensburg University,1871 Old Main Drive,Shippensburg US-PA 17257 US",40.0603939,-77.5234365,"1871 Old Main Dr, Shippensburg, PA 17257, USA",Match,Google
Sherrod Library ILL,"East Tennessee State University,Johnson City TN 37614-1701",36.3025374,-82.3701933,"1276 Gilbreath Dr, Johnson City, TN 37614, USA",Match,Google
SHENANDOAH UNIVERSITY / SMITH LIBRARY [MAIN CAMPUS],"Smith Library Dept.,1460 University Drive,Winchester US-VA 22601 US",39.1654869,-78.1586177,"1460 University Dr, Winchester, VA 22601, USA",Partial Match,Google
Shaker Heights Public Library / ILL Dept.,"Interlibrary Loan Dept.,16500 Van Aken Blvd.,Shaker Heights, OH 44120",41.4657668,-81.5665189,"16500 Van Aken Blvd, Cleveland, OH 44120, USA",Match,Google
SETON HALL U. LIBRARY/ILL,"Seton Hall University Library ,400 South Orange Ave.,South Orange, NJ 07079-2690",40.7422774,-74.2460919,"400 S Orange Ave, South Orange, NJ 07079, USA",Match,Google
SEO Library Center,"309 WEST SECOND ST,DELPHOS US-OH 45833 US",40.8433665,-84.3429129,"309 W 2nd St, Delphos, OH 45833, USA",Match,Google
Sea Cliff Public Library - ILL,Sea Cliff US-NY 11579 US,40.842212,-73.6447908,"Sea Cliff, NY 11579, USA",Match,Google
Scholes Library / ILL,2 Pine Street Alfred US-NY 14802 US,42.2564277,-77.7885327,"2 Pine St, Alfred, NY 14802, USA",Match,Google
Schoenbaum Library ILL Services,2300 MacCorkle Ave. SE Charleston US-WV 25304-1099 US,38.332638,-81.61837,"2300 MacCorkle Ave SE, Charleston, WV 25304, USA",Partial Match,Google
SCHAUMBURG TWP DIST LIBRARY,"130 S. Roselle,Schaumburg US-IL 60193 US",42.025461,-88.083314,"130 S Roselle Rd, Schaumburg, IL 60193, USA",Partial Match,Google
Schaffer Library of Health Sciences ILL,47 New Scotland Ave Albany US-NY 12208 US,42.6536322,-73.7767885,"47 New Scotland Ave, Albany, NY 12208, USA",Match,Google
Sayers Memorial Library,6870 Wold Avenue Bldg 93 Fort Benning US-GA 31905 US,32.3634407,-84.9649345,"6870 Wold Ave, Fort Benning, GA 31905, USA",Partial Match,Google
SARANAC LAKE FREE LIBRARY,"109 MAIN ST.,SARANAC LAKE US-NY 12983 US",44.3272624,-74.1303721,"109 Main St, Saranac Lake, NY 12983, USA",Match,Google
SAN ANTONIO PUBLIC LIBRARY / ILL,"600 Soledad,San Antonio US-TX 78205",29.4324141,-98.4928305,"600 Soledad St, San Antonio, TX 78205, USA",Partial Match,Google
SAINT FRANCIS COLLEGE / MCGARRY LIBRARY / ILL,"180 Remsen Street,Brooklyn US-NY 11201 US",40.6932301,-73.9921652,"180 Remsen St, Brooklyn, NY 11201, USA",Match,Google
SAGE COLLEGES / Albany Campus Library,"140 New Scotland Ave.,Albany US-NY 12208 US",42.6514661,-73.7825767,"140 New Scotland Ave, Albany, NY 12208, USA",Match,Google
Sacramento State Library,",2000 State University Drive, East,Sacramento US-CA 95819-6039 US",38.5596178,-121.4236365,"2000 State University Dr, Sacramento, CA 95819, USA",Partial Match,Google
Ryan Matura Library/ILL/Sacred Heart University,"Sacred Heart University Library,5151 Park Avenue Fairfield,Fairfield US-CT 06825-1000 US",41.2222759,-73.2429089,"5151 Park Ave, Fairfield, CT 06825, USA",Match,Google
Ruth Scarborough Library - ILL / Shepherd University,"Shepherd University,PO Box 5001,Shepherdstown US-WV 25443 US",39.436245,-77.8089633,"301 N King St, Shepherdstown, WV 25443, USA",Match,Google
Russell Sage Foundation Library/ILL,"112 East 64th St., New York, NY,10065",40.7656174,-73.966974,"112 E 64th St, New York, NY 10065, USA",Match,Google
RSC-WALDO LIBRARY/WESTERN MICHIGAN UNIVERSITY,"1903 West Michigan Ave,Kalamazoo US-MI 49008-5353 US",42.285144,-85.612241,"1903 W Michigan Ave, Kalamazoo, MI 49008, USA",Partial Match,Google
Roxbury Community College/LRC/ILL,",Roxbury Community College,Library,1234 Columbus Ave.,Roxbury Crossing US-MA 02120 US",42.329242,-71.095479,"1234 Columbus Ave, Roxbury Crossing, MA 02120, USA",Match,Google
Rolfing Library-ILL,"Trinity International University,2065 Half Day Road,Deerfield,IL 60015",42.1962259,-87.8809599,"2065 Half Day Rd, Deerfield, IL 60015, USA",Match,Google
Rockville Centre Publ.Libr./ ILL,"221 North Vage Ave,Rockve Centre US-NY 11570 US",40.6642139,-73.6483046,"221 N Village Ave, Rockville Centre, NY 11570, USA",Partial Match,Google
Rockland Community College / Library / ILL,"Rockland community college library,145 College Rd.,Suffern,NY 10901",41.1334696,-74.090226,"145 College Road, Suffern, NY 10901, USA",Match,Google
ROCHESTER PUBLIC LIBRARY/ILL/MONROE COUNTY LIBRARY SYSTEM,"DEPT,115 SOUTH AV,ROCHESTER,NY,14604",43.154095,-77.608209,"115 South Ave, Rochester, NY 14604, USA",Partial Match,Google
Robert J. Kibbee Library / ILL,"Kingsborough Community College Library,2001 Oriental Blvd.,Brooklyn US-NY 11235 US",40.5778144,-73.9355607,"2001 Oriental Blvd, Brooklyn, NY 11235, USA",Match,Google
Robert Bird OU Health Sciences Library - ILL,"1105 N Stonewall Ave.,Oklahoma City US-OK 73117-1222 US",35.478343,-97.4934288,"1105 N Stonewall Ave, Oklahoma City, OK 73117, USA",Partial Match,Google
Robbins Library,"700 Massachusetts Avenue, Dept.,Arlington US-MA 02476 US",42.4156522,-71.1550859,"700 Massachusetts Ave, Arlington, MA 02476, USA",Partial Match,Google
Rivier College - Regina Library / ILL Dept.,"Regina Library - ,420 S Main St,Nashua US-NH 03060 US",42.7384869,-71.4548192,"420 Main St, Nashua, NH 03060, USA",Match,Google
Riverhead Free Library,"330 Court St.,Riverhead, NY 11901-2885",40.9184605,-72.6692779,"330 Court St, Riverhead, NY 11901, USA",Partial Match,Google
